tmax,wspd,sol,presMax,dir,aptoplay
21.90,2.50,4.30,1024.80,7.00,-1
20.60,4.40,6.50,1026.10,11.00,-1
21.00,3.90,8.90,1026.70,12.00,-1
20.90,3.30,8.80,1029.10,11.00,-1
20.60,2.80,9.40,1029.90,36.00,-1
20.70,2.50,9.30,1028.80,12.00,-1
19.90,6.90,9.00,1028.00,12.00,-1
20.60,3.10,8.80,1028.90,99.00,-1
19.00,1.90,2.20,1027.50,8.00,-1
20.50,2.80,8.10,1027.20,25.00,-1
20.50,2.20,7.60,1025.80,23.00,-1
17.40,6.40,0.00,1020.10,21.00,-1
19.00,10.80,1.60,1004.20,21.00,-1
19.50,7.20,8.50,1012.20,27.00,-1
18.80,7.20,0.00,1013.00,23.00,-1
19.50,5.60,0.70,1020.00,23.00,-1
21.50,1.10,2.50,1021.90,1.00,-1
24.00,5.60,7.00,1018.40,12.00,-1
20.30,8.30,3.30,1021.30,11.00,-1
18.30,3.60,6.30,1025.50,99.00,-1
21.60,3.90,10.20,1029.00,3.00,-1
21.40,1.70,10.00,1031.50,7.00,-1
23.40,2.80,9.90,1029.10,4.00,-1
22.90,1.90,9.80,1027.90,3.00,-1
22.10,2.80,9.50,1025.50,27.00,-1
19.70,4.40,6.20,1021.90,25.00,-1
17.00,4.70,7.50,1018.20,29.00,-1
17.50,6.40,9.70,1021.60,28.00,-1
19.10,6.90,5.20,1022.10,24.00,-1
17.00,6.90,8.30,1014.60,25.00,-1
15.80,4.40,10.70,1020.10,31.00,-1
16.20,2.50,10.50,1021.20,29.00,-1
16.60,4.20,10.10,1020.00,31.00,-1
15.10,3.60,10.10,1021.20,35.00,-1
18.10,4.40,5.90,1012.20,25.00,-1
16.40,5.30,9.60,1019.10,30.00,-1
18.80,2.80,5.10,1021.00,25.00,-1
18.60,3.60,10.10,1023.60,99.00,-1
21.50,3.10,8.70,1019.90,26.00,-1
17.20,6.90,2.70,1012.40,28.00,-1
17.50,5.80,3.50,1012.10,22.00,-1
15.60,7.80,0.70,1002.60,21.00,-1
18.20,8.60,10.10,1016.20,25.00,-1
18.00,2.50,10.40,1020.00,26.00,-1
22.50,2.80,9.20,1019.80,12.00,-1
21.80,5.80,6.00,1015.80,12.00,-1
20.40,1.90,5.30,1017.90,19.00,-1
20.10,1.90,7.20,1020.20,26.00,-1
26.80,2.20,7.00,1021.50,14.00,1
28.00,3.60,8.80,1019.00,13.00,1
26.60,1.70,3.00,1015.00,27.00,1
22.60,1.90,8.20,1013.50,18.00,-1
20.30,3.90,7.90,1013.40,19.00,-1
20.90,3.90,7.90,1012.90,6.00,-1
29.90,3.30,0.00,1011.80,10.00,1
25.00,1.10,0.00,1009.20,29.00,1
25.00,4.70,0.00,1007.50,12.00,1
17.30,5.60,0.00,1002.80,30.00,-1
16.40,8.30,9.20,1005.40,26.00,-1
19.30,10.30,5.40,1006.90,22.00,-1
20.00,8.60,3.40,1004.90,22.00,-1
17.40,5.60,3.80,999.80,30.00,-1
18.50,8.60,3.30,998.00,24.00,-1
16.60,6.10,1.50,1008.50,21.00,-1
20.00,4.20,10.80,1018.00,25.00,-1
22.00,2.80,10.30,1017.40,16.00,-1
22.30,2.50,5.90,1018.90,26.00,-1
26.60,3.10,10.80,1018.60,11.00,1
28.40,6.40,10.70,1014.40,14.00,1
25.80,3.90,0.40,1011.60,12.00,1
22.50,4.40,9.30,1013.80,29.00,-1
22.60,3.90,6.50,1019.40,23.00,-1
23.60,4.40,11.50,1023.10,2.00,-1
26.30,3.10,11.80,1023.20,13.00,1
29.10,5.30,12.00,1023.30,13.00,1
25.00,5.60,11.90,1025.40,11.00,1
27.50,3.90,11.80,1023.40,13.00,1
27.50,4.70,12.00,1019.50,11.00,1
27.50,3.30,12.50,1019.10,26.00,1
31.30,3.30,12.70,1015.80,26.00,1
21.10,3.60,6.80,1011.90,18.00,-1
22.40,3.60,8.50,1013.20,21.00,-1
24.20,11.10,6.40,1013.80,11.00,-1
22.00,5.80,3.50,1012.60,14.00,-1
24.80,2.50,11.50,1012.80,11.00,-1
22.60,3.30,12.50,1012.00,27.00,-1
25.50,2.50,11.60,1014.20,34.00,1
26.10,3.90,11.90,1015.50,26.00,1
22.50,4.70,11.20,1011.60,26.00,-1
21.50,4.70,9.00,1008.30,25.00,-1
20.60,5.80,9.70,1007.70,26.00,-1
20.50,5.60,12.90,1012.50,27.00,-1
20.20,4.70,12.70,1016.30,25.00,-1
20.60,5.80,8.90,1018.20,23.00,-1
19.80,6.10,9.90,1017.20,29.00,-1
19.00,5.00,12.00,1018.00,28.00,-1
24.30,3.90,13.00,1018.30,99.00,-1
23.30,3.30,13.00,1016.70,25.00,-1
22.00,3.60,10.10,1015.90,26.00,-1
22.90,5.00,9.90,1014.30,28.00,-1
28.20,3.90,12.30,1014.50,6.00,1
29.60,6.90,11.40,1014.40,12.00,1
28.70,5.60,12.00,1012.70,11.00,1
29.50,6.70,11.90,1011.70,11.00,1
28.70,3.90,12.80,1013.30,26.00,1
28.70,3.10,12.90,1014.60,25.00,1
23.80,4.20,8.80,1012.20,22.00,-1
22.00,8.30,12.20,1011.20,27.00,-1
21.40,7.20,13.20,1010.90,26.00,-1
21.60,3.60,13.00,1012.00,23.00,-1
21.60,5.30,7.70,1010.90,26.00,-1
23.20,5.00,13.20,1011.20,24.00,-1
21.90,6.70,13.20,1011.10,24.00,-1
21.80,6.90,13.10,1015.00,25.00,-1
22.00,6.70,13.20,1017.00,25.00,-1
24.80,5.30,12.60,1017.00,29.00,-1
26.40,5.00,12.70,1013.00,99.00,1
28.20,4.40,12.90,1014.20,19.00,1
26.20,4.20,11.80,1015.10,29.00,1
28.00,3.90,12.50,1015.00,28.00,1
25.40,4.20,12.90,1021.10,99.00,1
29.90,3.90,13.70,1014.90,12.00,1
32.40,4.40,12.90,1014.10,16.00,1
33.20,3.30,13.10,1009.80,24.00,1
32.30,3.90,12.90,1006.10,12.00,1
30.50,6.90,13.20,1009.90,12.00,1
30.50,8.10,13.10,1011.20,13.00,-1
30.60,5.60,12.80,1011.80,10.00,1
25.10,4.40,12.90,1013.00,22.00,1
26.90,2.50,11.90,1012.80,26.00,1
27.20,3.90,7.70,1009.80,20.00,1
23.50,5.30,0.00,1013.00,17.00,-1
24.50,5.30,12.70,1012.60,22.00,-1
24.00,5.00,4.90,1012.20,24.00,-1
24.30,6.10,10.20,1014.40,21.00,-1
24.20,5.30,8.10,1016.30,20.00,-1
28.10,3.90,13.70,1017.10,26.00,1
